19:39:01.972675 IP 10.0.0.5.49750 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2022989647, win 29200, options [mss 1460,sackOK,TS val 20875896 ecr 0,nop,wscale 7], length 0
19:39:12.375843 IP 10.0.0.5.49782 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 908348769, win 29200, options [mss 1460,sackOK,TS val 20878497 ecr 0,nop,wscale 7], length 0
19:39:12.864317 IP 10.0.0.5.49783 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2587977232, win 29200, options [mss 1460,sackOK,TS val 20878619 ecr 0,nop,wscale 7], length 0
19:39:13.507112 IP 10.0.0.5.49784 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 419065472, win 29200, options [mss 1460,sackOK,TS val 20878780 ecr 0,nop,wscale 7], length 0
19:39:14.007871 IP 10.0.0.5.49785 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3246573431, win 29200, options [mss 1460,sackOK,TS val 20878905 ecr 0,nop,wscale 7], length 0
19:39:14.504616 IP 10.0.0.5.49786 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2101850297, win 29200, options [mss 1460,sackOK,TS val 20879029 ecr 0,nop,wscale 7], length 0
19:39:14.965426 IP 10.0.0.5.49787 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3020260124, win 29200, options [mss 1460,sackOK,TS val 20879144 ecr 0,nop,wscale 7], length 0
19:39:15.397467 IP 10.0.0.5.49788 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1293839045, win 29200, options [mss 1460,sackOK,TS val 20879252 ecr 0,nop,wscale 7], length 0
19:39:15.834773 IP 10.0.0.5.49789 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 663159285, win 29200, options [mss 1460,sackOK,TS val 20879361 ecr 0,nop,wscale 7], length 0
19:39:16.294775 IP 10.0.0.5.49790 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2356770621, win 29200, options [mss 1460,sackOK,TS val 20879476 ecr 0,nop,wscale 7], length 0
19:39:16.736649 IP 10.0.0.5.49791 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1279340290, win 29200, options [mss 1460,sackOK,TS val 20879587 ecr 0,nop,wscale 7], length 0
19:39:18.536074 IP 10.0.0.5.49792 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2031637851, win 29200, options [mss 1460,sackOK,TS val 20880037 ecr 0,nop,wscale 7], length 0
19:39:19.027895 IP 10.0.0.5.49793 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3591114797, win 29200, options [mss 1460,sackOK,TS val 20880160 ecr 0,nop,wscale 7], length 0
19:39:19.445551 IP 10.0.0.5.49794 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3468559834, win 29200, options [mss 1460,sackOK,TS val 20880264 ecr 0,nop,wscale 7], length 0
19:39:19.913623 IP 10.0.0.5.49795 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2322541822, win 29200, options [mss 1460,sackOK,TS val 20880381 ecr 0,nop,wscale 7], length 0
19:39:20.349998 IP 10.0.0.5.49796 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1206841689, win 29200, options [mss 1460,sackOK,TS val 20880490 ecr 0,nop,wscale 7], length 0
19:39:20.823531 IP 10.0.0.5.49797 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2598900134, win 29200, options [mss 1460,sackOK,TS val 20880609 ecr 0,nop,wscale 7], length 0
19:39:21.257580 IP 10.0.0.5.49798 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1698693539, win 29200, options [mss 1460,sackOK,TS val 20880717 ecr 0,nop,wscale 7], length 0
19:39:21.696081 IP 10.0.0.5.49799 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2479486292, win 29200, options [mss 1460,sackOK,TS val 20880827 ecr 0,nop,wscale 7], length 0
19:39:22.148707 IP 10.0.0.5.49800 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2523394994, win 29200, options [mss 1460,sackOK,TS val 20880940 ecr 0,nop,wscale 7], length 0
19:39:22.593146 IP 10.0.0.5.49801 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 241451447, win 29200, options [mss 1460,sackOK,TS val 20881051 ecr 0,nop,wscale 7], length 0
19:39:23.197301 IP 10.0.0.5.49802 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2243659611, win 29200, options [mss 1460,sackOK,TS val 20881202 ecr 0,nop,wscale 7], length 0
19:39:23.655434 IP 10.0.0.5.49803 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2465408535, win 29200, options [mss 1460,sackOK,TS val 20881317 ecr 0,nop,wscale 7], length 0
19:39:24.129262 IP 10.0.0.5.49804 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 126099111, win 29200, options [mss 1460,sackOK,TS val 20881435 ecr 0,nop,wscale 7], length 0
19:39:24.610900 IP 10.0.0.5.49805 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3666910426, win 29200, options [mss 1460,sackOK,TS val 20881555 ecr 0,nop,wscale 7], length 0
19:39:25.066999 IP 10.0.0.5.49806 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1965891300, win 29200, options [mss 1460,sackOK,TS val 20881670 ecr 0,nop,wscale 7], length 0
19:39:25.537450 IP 10.0.0.5.49807 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3103516927, win 29200, options [mss 1460,sackOK,TS val 20881787 ecr 0,nop,wscale 7], length 0
19:39:25.983130 IP 10.0.0.5.49808 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2900324112, win 29200, options [mss 1460,sackOK,TS val 20881899 ecr 0,nop,wscale 7], length 0
19:39:26.447972 IP 10.0.0.5.49809 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1112821198, win 29200, options [mss 1460,sackOK,TS val 20882015 ecr 0,nop,wscale 7], length 0
19:39:26.918102 IP 10.0.0.5.49810 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1052724052, win 29200, options [mss 1460,sackOK,TS val 20882132 ecr 0,nop,wscale 7], length 0
19:39:27.397026 IP 10.0.0.5.49811 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1759388238, win 29200, options [mss 1460,sackOK,TS val 20882252 ecr 0,nop,wscale 7], length 0
19:39:27.825653 IP 10.0.0.5.49812 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1889095189, win 29200, options [mss 1460,sackOK,TS val 20882359 ecr 0,nop,wscale 7], length 0
19:39:28.281461 IP 10.0.0.5.49813 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1891148161, win 29200, options [mss 1460,sackOK,TS val 20882473 ecr 0,nop,wscale 7], length 0
19:39:28.719269 IP 10.0.0.5.49814 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2477072080, win 29200, options [mss 1460,sackOK,TS val 20882583 ecr 0,nop,wscale 7], length 0
19:39:29.199027 IP 10.0.0.5.49815 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1683577111, win 29200, options [mss 1460,sackOK,TS val 20882703 ecr 0,nop,wscale 7], length 0
19:39:29.820563 IP 10.0.0.5.49816 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 972197028, win 29200, options [mss 1460,sackOK,TS val 20882858 ecr 0,nop,wscale 7], length 0
19:39:30.252928 IP 10.0.0.5.49817 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2190230081, win 29200, options [mss 1460,sackOK,TS val 20882966 ecr 0,nop,wscale 7], length 0
19:39:30.676690 IP 10.0.0.5.49818 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3126192266, win 29200, options [mss 1460,sackOK,TS val 20883072 ecr 0,nop,wscale 7], length 0
19:39:31.189960 IP 10.0.0.5.49819 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1380185213, win 29200, options [mss 1460,sackOK,TS val 20883200 ecr 0,nop,wscale 7], length 0
19:39:31.785715 IP 10.0.0.5.49820 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 568673371, win 29200, options [mss 1460,sackOK,TS val 20883349 ecr 0,nop,wscale 7], length 0
19:39:32.207614 IP 10.0.0.5.49821 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2295540732, win 29200, options [mss 1460,sackOK,TS val 20883455 ecr 0,nop,wscale 7], length 0
19:39:32.310774 IP 10.0.0.5.47026 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 1689953703, win 29200, options [mss 1460,sackOK,TS val 20883480 ecr 0,nop,wscale 7], length 0
19:39:32.323529 IP 10.0.0.5.47027 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 1507198613, win 29200, options [mss 1460,sackOK,TS val 20883484 ecr 0,nop,wscale 7], length 0
19:39:32.337253 IP 10.0.0.5.47028 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 3357374596, win 29200, options [mss 1460,sackOK,TS val 20883487 ecr 0,nop,wscale 7], length 0
19:39:32.686356 IP 10.0.0.5.49826 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1104574417, win 29200, options [mss 1460,sackOK,TS val 20883574 ecr 0,nop,wscale 7], length 0
19:39:33.112332 IP 10.0.0.5.49827 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3946102742, win 29200, options [mss 1460,sackOK,TS val 20883681 ecr 0,nop,wscale 7], length 0
19:39:33.603012 IP 10.0.0.5.49828 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2107137060, win 29200, options [mss 1460,sackOK,TS val 20883804 ecr 0,nop,wscale 7], length 0
19:39:34.029068 IP 10.0.0.5.49829 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 776492755, win 29200, options [mss 1460,sackOK,TS val 20883910 ecr 0,nop,wscale 7], length 0
19:39:34.513629 IP 10.0.0.5.49830 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1088777609, win 29200, options [mss 1460,sackOK,TS val 20884031 ecr 0,nop,wscale 7], length 0
19:39:35.079351 IP 10.0.0.5.49831 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 538629688, win 29200, options [mss 1460,sackOK,TS val 20884173 ecr 0,nop,wscale 7], length 0
19:39:35.502768 IP 10.0.0.5.49832 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1575611334, win 29200, options [mss 1460,sackOK,TS val 20884278 ecr 0,nop,wscale 7], length 0
19:39:35.934378 IP 10.0.0.5.49833 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4110231869, win 29200, options [mss 1460,sackOK,TS val 20884386 ecr 0,nop,wscale 7], length 0
19:39:36.378523 IP 10.0.0.5.49834 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3793369455, win 29200, options [mss 1460,sackOK,TS val 20884497 ecr 0,nop,wscale 7], length 0
19:39:36.830327 IP 10.0.0.5.49835 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3098056233, win 29200, options [mss 1460,sackOK,TS val 20884610 ecr 0,nop,wscale 7], length 0
19:39:37.328189 IP 10.0.0.5.49836 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4263833981, win 29200, options [mss 1460,sackOK,TS val 20884735 ecr 0,nop,wscale 7], length 0
19:39:37.833793 IP 10.0.0.5.49838 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 294333956, win 29200, options [mss 1460,sackOK,TS val 20884861 ecr 0,nop,wscale 7], length 0
19:39:38.316929 IP 10.0.0.5.49839 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3789188824, win 29200, options [mss 1460,sackOK,TS val 20884982 ecr 0,nop,wscale 7], length 0
19:39:38.801885 IP 10.0.0.5.49841 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3817263868, win 29200, options [mss 1460,sackOK,TS val 20885103 ecr 0,nop,wscale 7], length 0
19:39:39.244468 IP 10.0.0.5.49844 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2866185680, win 29200, options [mss 1460,sackOK,TS val 20885214 ecr 0,nop,wscale 7], length 0
19:39:39.694987 IP 10.0.0.5.49846 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3767670712, win 29200, options [mss 1460,sackOK,TS val 20885327 ecr 0,nop,wscale 7], length 0
19:39:40.156825 IP 10.0.0.5.49847 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3579101855, win 29200, options [mss 1460,sackOK,TS val 20885442 ecr 0,nop,wscale 7], length 0
19:39:40.629351 IP 10.0.0.5.49848 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4141218741, win 29200, options [mss 1460,sackOK,TS val 20885560 ecr 0,nop,wscale 7], length 0
19:39:41.094803 IP 10.0.0.5.49849 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3248374978, win 29200, options [mss 1460,sackOK,TS val 20885676 ecr 0,nop,wscale 7], length 0
19:39:41.562114 IP 10.0.0.5.49851 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1294606288, win 29200, options [mss 1460,sackOK,TS val 20885793 ecr 0,nop,wscale 7], length 0
19:39:42.067320 IP 10.0.0.5.49852 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1115772455, win 29200, options [mss 1460,sackOK,TS val 20885920 ecr 0,nop,wscale 7], length 0
19:39:42.503180 IP 10.0.0.5.49853 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 767194953, win 29200, options [mss 1460,sackOK,TS val 20886029 ecr 0,nop,wscale 7], length 0
19:39:42.933938 IP 10.0.0.5.49854 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3582340320, win 29200, options [mss 1460,sackOK,TS val 20886136 ecr 0,nop,wscale 7], length 0
19:39:43.404763 IP 10.0.0.5.49855 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 898161766, win 29200, options [mss 1460,sackOK,TS val 20886254 ecr 0,nop,wscale 7], length 0
19:39:43.911979 IP 10.0.0.5.49856 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1499955502, win 29200, options [mss 1460,sackOK,TS val 20886381 ecr 0,nop,wscale 7], length 0
19:39:44.345042 IP 10.0.0.5.49857 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1112222148, win 29200, options [mss 1460,sackOK,TS val 20886489 ecr 0,nop,wscale 7], length 0
19:39:44.829384 IP 10.0.0.5.49858 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1551639384, win 29200, options [mss 1460,sackOK,TS val 20886610 ecr 0,nop,wscale 7], length 0
19:39:45.308393 IP 10.0.0.5.49859 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1986122894, win 29200, options [mss 1460,sackOK,TS val 20886730 ecr 0,nop,wscale 7], length 0
19:39:45.795784 IP 10.0.0.5.49860 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2169300065, win 29200, options [mss 1460,sackOK,TS val 20886852 ecr 0,nop,wscale 7], length 0
19:39:46.239884 IP 10.0.0.5.49861 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3405471921, win 29200, options [mss 1460,sackOK,TS val 20886963 ecr 0,nop,wscale 7], length 0
19:39:46.694765 IP 10.0.0.5.49862 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1463390140, win 29200, options [mss 1460,sackOK,TS val 20887076 ecr 0,nop,wscale 7], length 0
19:39:47.126396 IP 10.0.0.5.49863 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4036938669, win 29200, options [mss 1460,sackOK,TS val 20887184 ecr 0,nop,wscale 7], length 0
19:39:47.589126 IP 10.0.0.5.49864 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 130676232, win 29200, options [mss 1460,sackOK,TS val 20887300 ecr 0,nop,wscale 7], length 0
19:39:48.070491 IP 10.0.0.5.49865 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2094635950, win 29200, options [mss 1460,sackOK,TS val 20887420 ecr 0,nop,wscale 7], length 0
19:39:48.528554 IP 10.0.0.5.49866 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3966222326, win 29200, options [mss 1460,sackOK,TS val 20887535 ecr 0,nop,wscale 7], length 0
19:39:48.978181 IP 10.0.0.5.49867 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 412049629, win 29200, options [mss 1460,sackOK,TS val 20887647 ecr 0,nop,wscale 7], length 0
19:39:49.446409 IP 10.0.0.5.49868 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 934633813, win 29200, options [mss 1460,sackOK,TS val 20887764 ecr 0,nop,wscale 7], length 0
19:39:49.870432 IP 10.0.0.5.49869 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3511565575, win 29200, options [mss 1460,sackOK,TS val 20887870 ecr 0,nop,wscale 7], length 0
19:39:50.382833 IP 10.0.0.5.49870 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 687644151, win 29200, options [mss 1460,sackOK,TS val 20887998 ecr 0,nop,wscale 7], length 0
19:39:50.924888 IP 10.0.0.5.49871 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3450332944, win 29200, options [mss 1460,sackOK,TS val 20888134 ecr 0,nop,wscale 7], length 0
19:39:51.464621 IP 10.0.0.5.49872 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2431059579, win 29200, options [mss 1460,sackOK,TS val 20888269 ecr 0,nop,wscale 7], length 0
19:39:52.016506 IP 10.0.0.5.49873 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3246712249, win 29200, options [mss 1460,sackOK,TS val 20888407 ecr 0,nop,wscale 7], length 0
19:39:52.549618 IP 10.0.0.5.49874 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2725769513, win 29200, options [mss 1460,sackOK,TS val 20888540 ecr 0,nop,wscale 7], length 0
19:39:53.056309 IP 10.0.0.5.49875 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4205469718, win 29200, options [mss 1460,sackOK,TS val 20888667 ecr 0,nop,wscale 7], length 0
19:39:53.559654 IP 10.0.0.5.49876 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 882874833, win 29200, options [mss 1460,sackOK,TS val 20888793 ecr 0,nop,wscale 7], length 0
19:39:54.071890 IP 10.0.0.5.49877 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 137843292, win 29200, options [mss 1460,sackOK,TS val 20888921 ecr 0,nop,wscale 7], length 0
19:39:54.594181 IP 10.0.0.5.49878 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2252400189, win 29200, options [mss 1460,sackOK,TS val 20889051 ecr 0,nop,wscale 7], length 0
19:39:55.124824 IP 10.0.0.5.49879 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 4168544827, win 29200, options [mss 1460,sackOK,TS val 20889184 ecr 0,nop,wscale 7], length 0
19:39:55.708991 IP 10.0.0.5.49880 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3918156462, win 29200, options [mss 1460,sackOK,TS val 20889330 ecr 0,nop,wscale 7], length 0
19:39:56.233274 IP 10.0.0.5.49881 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 92715860, win 29200, options [mss 1460,sackOK,TS val 20889461 ecr 0,nop,wscale 7], length 0
19:39:56.824373 IP 10.0.0.5.49882 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3627974878, win 29200, options [mss 1460,sackOK,TS val 20889609 ecr 0,nop,wscale 7], length 0
19:39:57.331808 IP 10.0.0.5.49883 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1948831435, win 29200, options [mss 1460,sackOK,TS val 20889736 ecr 0,nop,wscale 7], length 0
19:39:57.498556 IP 10.0.0.5.47088 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 49147555, win 29200, options [mss 1460,sackOK,TS val 20889777 ecr 0,nop,wscale 7], length 0
19:39:57.509191 IP 10.0.0.5.47089 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 2607628235, win 29200, options [mss 1460,sackOK,TS val 20889780 ecr 0,nop,wscale 7], length 0
19:39:57.521425 IP 10.0.0.5.47090 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 1985748292, win 29200, options [mss 1460,sackOK,TS val 20889783 ecr 0,nop,wscale 7], length 0
19:39:57.821360 IP 10.0.0.5.49888 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2724989191, win 29200, options [mss 1460,sackOK,TS val 20889858 ecr 0,nop,wscale 7], length 0
19:39:58.375835 IP 10.0.0.5.49889 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2306538726, win 29200, options [mss 1460,sackOK,TS val 20889997 ecr 0,nop,wscale 7], length 0
19:39:58.922966 IP 10.0.0.5.49890 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2680855126, win 29200, options [mss 1460,sackOK,TS val 20890134 ecr 0,nop,wscale 7], length 0
19:39:59.410571 IP 10.0.0.5.49891 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3410286364, win 29200, options [mss 1460,sackOK,TS val 20890255 ecr 0,nop,wscale 7], length 0
19:39:59.927559 IP 10.0.0.5.49892 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2713274796, win 29200, options [mss 1460,sackOK,TS val 20890385 ecr 0,nop,wscale 7], length 0
19:40:00.414488 IP 10.0.0.5.49893 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2515485367, win 29200, options [mss 1460,sackOK,TS val 20890506 ecr 0,nop,wscale 7], length 0
19:40:00.931659 IP 10.0.0.5.49894 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2294259416, win 29200, options [mss 1460,sackOK,TS val 20890636 ecr 0,nop,wscale 7], length 0
